iter	Passed	Remaining
611	1505	954
612	1507	951
613	1509	949
614	1511	946
615	1513	943
616	1514	940
617	1516	937
618	1518	934
619	1521	932
620	1525	930
621	1527	928
622	1529	925
623	1530	922
624	1532	919
625	1535	917
626	1537	914
627	1539	912
628	1541	909
629	1543	906
630	1544	903
631	1546	900
632	1548	897
633	1550	895
634	1553	892
635	1554	889
636	1556	887
637	1558	884
638	1560	881
639	1562	878
640	1564	876
641	1567	873
642	1569	871
643	1570	868
644	1572	865
645	1574	862
646	1576	860
647	1578	857
648	1580	854
649	1582	852
650	1584	849
651	1586	846
652	1588	844
653	1590	841
654	1592	838
655	1594	836
656	1596	833
657	1598	830
658	1600	828
659	1601	825
660	1603	822
661	1605	819
662	1607	817
663	1609	814
664	1611	811
665	1613	809
666	1615	806
667	1617	803
668	1619	801
669	1621	798
670	1623	796
671	1625	793
672	1627	790
673	1629	788
674	1631	785
675	1632	782
676	1634	779
677	1636	777
678	1639	774
679	1640	772
680	1642	769
681	1645	767
682	1647	764
683	1650	762
684	1652	759
685	1653	756
686	1655	754
687	1657	751
688	1659	748
689	1661	746
690	1663	743
691	1665	741
692	1667	738
693	1669	735
694	1670	733
695	1672	730
696	1674	728
697	1676	725
698	1679	723
699	1681	720
700	1683	718
701	1685	715
702	1687	712
703	1688	710
704	1692	708
705	1694	705
706	1696	703
707	1698	700
708	1700	698
709	1702	695
710	1704	692
711	1707	690
712	1710	688
713	1711	685
714	1713	683
715	1715	680
716	1717	677
717	1720	675
718	1722	673
719	1725	670
720	1726	668
721	1728	665
722	1730	663
723	1732	660
724	1735	658
725	1737	655
726	1739	653
727	1740	650
728	1742	647
729	1744	645
730	1746	642
731	1748	640
732	1750	637
733	1753	635
734	1755	632
735	1756	630
736	1758	627
737	1760	625
738	1762	622
739	1765	620
740	1767	617
741	1769	615
742	1770	612
743	1772	610
744	1774	607
745	1776	604
746	1779	602
747	1781	600
748	1783	597
749	1785	595
750	1787	592
751	1789	590
752	1791	587
753	1794	585
754	1796	583
755	1798	580
756	1800	577
757	1802	575
758	1804	572
759	1806	570
760	1808	568
761	1810	565
762	1812	563
763	1814	560
764	1816	557
765	1818	555
766	1820	552
767	1822	550
768	1824	548
769	1826	545
770	1828	543
771	1830	540
772	1832	538
773	1834	535
774	1836	533
775	1838	530
776	1840	528
777	1842	525
778	1844	523
779	1846	520
780	1848	518
781	1850	515
782	1852	513
783	1854	510
784	1856	508
785	1857	505
786	1859	503
787	1861	500
788	1863	498
789	1865	495
790	1868	493
791	1871	491
792	1874	489
793	1876	486
794	1877	484
795	1880	481
796	1882	479
797	1884	477
798	1886	474
799	1888	472
800	1890	469
801	1891	467
802	1893	464
803	1896	462
804	1898	459
805	1900	457
806	1902	454
807	1904	452
808	1905	449
809	1908	447
810	1910	445
811	1913	442
812	1915	440
813	1917	438
814	1918	435
815	1920	433
816	1923	430
817	1925	428
818	1927	426
819	1929	423
820	1931	421
821	1933	418
822	1935	416
823	1937	413
824	1939	411
825	1941	409
826	1943	406
827	1945	404
828	1946	401
829	1948	399
830	1950	396
831	1952	394
832	1954	391
833	1956	389
834	1958	387
835	1960	384
836	1962	382
837	1964	379
838	1966	377
839	1968	374
840	1970	372
841	1972	370
842	1974	367
843	1976	365
844	1977	362
845	1980	360
846	1982	358
847	1984	355
848	1986	353
849	1988	350
850	1990	348
851	1992	346
852	1994	343
853	1996	341
854	1998	338
855	2000	336
856	2002	334
857	2004	331
858	2005	329
859	2007	326
860	2009	324
861	2011	322
862	2014	319
863	2016	317
864	2017	314
865	2019	312
866	2021	310
867	2023	307
868	2025	305
869	2028	303
870	2029	300
871	2031	298
872	2033	295
873	2035	293
874	2037	291
875	2040	288
876	2042	286
877	2044	284
878	2046	281
879	2048	279
880	2050	277
881	2053	274
882	2055	272
883	2058	270
884	2061	267
885	2063	265
886	2065	263
887	2068	260
888	2070	258
889	2073	256
890	2076	253
891	2078	251
892	2080	249
893	2082	246
894	2085	244
895	2087	242
896	2088	239
897	2090	237
898	2092	235
899	2094	232
900	2096	230
901	2099	228
902	2101	225
903	2103	223
904	2105	221
905	2107	218
906	2109	216
907	2112	214
908	2114	211
909	2116	209
910	2118	206
911	2120	204
912	2122	202
913	2124	199
914	2127	197
915	2129	195
916	2132	192
917	2134	190
918	2136	188
919	2138	185
920	2140	183
921	2143	181
922	2146	179
923	2148	176
924	2150	174
925	2152	172
926	2155	169
927	2157	167
928	2159	165
929	2162	162
930	2164	160
931	2165	158
932	2168	155
933	2170	153
934	2173	151
935	2175	148
936	2177	146
937	2179	144
938	2180	141
939	2183	139
940	2185	137
941	2188	134
942	2190	132
943	2192	130
944	2194	127
945	2196	125
946	2198	123
947	2201	120
948	2203	118
949	2205	116
950	2207	113
951	2209	111
952	2211	109
953	2214	106
954	2217	104
955	2220	102
956	2223	99
957	2225	97
958	2227	95
959	2229	92
960	2231	90
961	2233	88
962	2236	85
963	2239	83
964	2241	81
965	2244	78
966	2246	76
967	2248	74
968	2251	72
969	2253	69
970	2256	67
971	2258	65
972	2260	62
973	2262	60
974	2264	58
975	2266	55
976	2269	53
977	2271	51
978	2274	48
979	2276	46
980	2279	44
981	2281	41
982	2283	39
983	2285	37
984	2288	34
985	2290	32
986	2292	30
987	2294	27
988	2296	25
989	2299	23
990	2301	20
991	2304	18
992	2306	16
993	2308	13
994	2310	11
995	2312	9
996	2315	6
997	2317	4
998	2319	2
999	2321	0
